Name,Authority,Role,ISIN Assets,Non ISIN Assets,Legacy Assets
Christine Lagarde,European Central Bank,President,"FR0000974149,FR0010077362,LU1493433004,FR0000988669,DE000A0D95Q0,FR0011606268",Real Estate Transparent Corporation,
Luis de Guindos Jurado,European Central Bank,"Member of the Executive Board, Vice-President","ES0175808007,ES0165143001,LU0568620560",,ES0138045002
Mário José Gomes de Freitas Centeno,Banco de Portugal,Member of the ECB Governing Council,,,"PTGALOAM0009,PTMFR0AM0003,PTZON0AM0006,PTPTC0AM0009,PTRELOAM0008,PTPTI0AM0006,PTSLB0AM0010"
Piero Cipollone,European Central Bank,Member of the Executive Board,,,
Frank Elderson,European Central Bank,Executive Board Member of the ECB,,,
Pablo Hernández de Cos,Banco de España,Governor of Banco de Espana; Member of the ECB Governing Council,,,
Constantinos Herodotou,Central Bank of Cyprus,Member of the ECB Governing Council,"IE0031442068,IE0005042456,IE00BOM63516,GB0002050218,GB00B39R2Q25,GB00B7VNMB18,GB00B3LNGT95,LU0457959939,GB00B6Y7NF43,GB00B032C178,GB0001981215,GB0002050879",,XS1956050923
Robert Holzmann,Oesterreichische Nationalbank,Member of the ECB Governing Council,,Co- doneship of appartment building,
M?rti?š Kaz?ks,Latvijas Banka,"Governor,  Member of the ECB Governing Council",,,"SE0008374250 ,DK0060252690 "
Peter Kažimír,Národná banka Slovenska,Member of the ECB Governing Council,,"TMB Partners, s.r.o., consulting services, Slovakia",
Klaas Knot,De Nederlandsche Bank,Member of the ECB Governing Council,LU0498838118,,
Philip Richard Lane,European Central Bank,Member of the ECB Executive Board,,,
Gabriel Makhlouf,Central Bank of Ireland,Governor,,,
Madis Müller,Eesti Pank,"Governor, Member of the ECB Governing Council","EE3600109419,EE3600109401,EE3600010294,EE3600019832,DE0005933931,IE00BFY0GT14,SE0000693293,US4642882579,US4642872349,EE3100127242,EE3500001609","Fidelity Focused High Income Fund, US;Fidelity Total Market Index Fund, US;Fidelity Total Bond Fund, US;Vegvisir OÜ, Tallinn, Estonia;Paopuu OÜ, Tallinn, Estonia;","EE0000001105,EE3100004466 ,EE3100137985"
Joachim Nagel,Deutsche Bundesbank,Member of the ECB Governing Council,,,
Fabio Panetta,Banca d'ltalia,Governor,,,
Olli Rehn,Suomen Pankki,Member of the ECB Governing Council,,"Verkisto Oy, Owner. Communications and
research (not active, apart from some
modest author's activity and income),
Capital base EUR 8.500",
Gaston Reinesch,Banque centrale du Luxembourg,Member of the ECB Governing Council,,,
Isabel Schnabel,European Central Bank,Member of the Executive Board,"IE00BKM4GZ66,IE00B52VJ196,IE00B4L5Y983,IE00B3VVMM84,IE00B53QG562,IE00BYX2JD69,IE00BHZPHZ28,IE00B4K48X80,DE0009848119,IE00BYVJRP78,IE00BCRY6557,A2JKUX",,IE00B14X4S71 
EDWARD SCICLUNA,CENTRAL BANK OF MALTA,GOVERNOR,,Malta AEC Ltd (dormant);Malta CWG plc (shares);Malta Creek Development (shares),"MT4000010072,MT4000010044,MT4000010051,MT4000010069"
Gediminas Šimkus,Lietuvos bankas,Chairman of the Board of Lietuvos bankas,,,
Yannis Stournaras,Bank of Greece,"Member of the ECB Governing Council, Governor of the Bank of Greece",,,
Boštjan Vasle,Banka Slovenije,Member of the Goveming Council,,,
Francois VILLEROY de GALHAU,Banque de France,Member of the ECB Governing Council,,,DE0007657231
Boris Vuj?i?,Hrvatska narodna banka,Governor,,,"HRATGRRA0003,HRMGMARA0005 "
Guillaume Pierre Wunsch,National Bank of Belgium,Governor,"LU0224105477,LU1299303229,LU1998886177,LU2145462052,LU2092758726,LU0303816705,LU0248184466,LU0119124781,LU0194779913,LU0210073408,LU0289089384,LU0390135332,LU0106239873,LU0172157280,LU1681048804,IE00B4X9L533,IE00B53SZB19,IE00B0M63177,IE00B1XNHC34,FR0010315770,LU0392494562,LU0136234068,LU0480132876,IE00BSKRJZ44","Shares in two start-up companies,
Sunoptimo and CV-Trust, active in clean
energy and smart certificates respectively –
both located in Brussels",LU0172157280
Ignazio Visco,Banca d'ltalia,Member of the ECB Governing Council,,,
